ABBR,TERM
PJA,Pajala Airport,
PKJ,Playa Grande,
PKK,Pakokku,
PKN,Iskandar Airport,
PKO,Parakou,
PKR,Pokhara Airport,
PKS,Paksane,
PKV,Pskov Airport,
PKW,Selebi-Phikwe,
PKX,Beijing Daxing International Airport,
PKY,Tjilik Riwut Airport,
PLC,Planeta Rica,
PLQ,Palanga International Airport,
PLD,Playa Samara,
PLR,St Clair County,
PLH,Plymouth,
PLI,Palm Island,
PLX,Semipalatinsk Airport,
PLK,M. Graham Clark - Taney County,
PMF,Parma Airport,
PMT,Paramakotoi,
PMK,Palm Island Airport,
PMM,Phanom Sarakham,
PMO,Falcone-Borsellino Airport,
PMP,Pimaga,
PMQ,Perito Moreno,
PMR,Palmerston North Airport,
PMS,Palmyra,
PMV,Santiago Marino International Airport,
PMX,Metropolitan,
PMZ,Palmar Sur,
PNA,Pamplona Airport,
PNC,Ponca City,
PND,Punta Gorda,
PNE,North Philadelphia,
PMY,El Tehuelche,
PNB,Porto Nacional,
PON,Poptun,
POL,Pemba Airport,
PPG,Pago Pago International Airport,
POP,La Union Airport,
PQM,Palenque,
POT,Ken Jones,
POU,Dutchess County,
POV,Presov,
POW,Portoroz,
POX,Paris Cergy Pontoise,
POY,Powell,
PPA,Perry Lefors Field,
PPB,A. De Barros Airport,
PPD,Palmas Del Mar,
PPE,Puerto Penasco,
PRA,General Justo Jose de Urquiza Airport,
PRB,Paso Robles,
PRC,Prescott Airport,
PRG,Vaclav Havel Airport Prague,
PRI,Praslin Island Airport,
PRJ,Capri,
PRK,Prieska,
PRL,Port Oceanic,
PRM,Portimao Airport,
PRN,Pristina International Airport,
PRO,Perry Municipal,
PRP,Propriano,
PRQ,Pres. Roque Saenz Pena,
PRV,Prerov,
PRW,Prentice,
PRX,Cox Field,
PRH,Phrae Airport,
PRZ,Prineville,
PSB,Bellefonte,
PSW,Passos,
PSX,Palacios,
PTA,Port Alsworth,
PTB,Dinwiddie County Airport,
PSZ,Puerto Suarez,
PTG,Polokwane Airport,
PTI,Port Douglas,
PTJ,Portland,
PTK,Pontiac,
PTM,Palmarito,
PTN,Williams Memorial,
PTO,Pato Branco,
PUD,Puerto Deseado,
PTT,Pratt,
PTX,Pitalito,
PUV,Poum,
PUW,Moscow Regional Airport,
PUX,Puerto Varas,
PUY,Pula Airport,
PUZ,Puerto Cabezas,
PVA,Providencia,
PVC,Provincetown Airport,
PVF,Placerville,
PVE,El Porvenir,
PVW,Hale County,
PWD,Sherwood,
PVI,Edu Chaves,
PWI,Beles,
PVR,Gustavo Diaz Ordaz International Airport,
PVZ,Casement,
PWA,Wiley Post,
PWL,Purwokerto,
PWO,Pweto,
PWY,Ralph Wenz Field,
PYH,Puerto Ayacucho,
PYJ,Polyarnyj Airport,
PYX,Pattaya,
PYL,Perry SPB,
PYM,Plymouth,
PYN,Payan,
PYO,Putumayo,
QOW,Sam Mbakwe International Airport,
RLT,Arlit,
QLU,Lublin Radawiec Airport,
QHU,Husum,
QMV,Montvale,
QOR,Ordu,
QRW,Warri,
QLV,Leverkusen Mitte,
QKU,Messe/Deutz Rail Station,
QUB,Ubari,
QLR,Leiria Gandara Airport,
QRA,Rand/Germiston,
QRO,Queretaro Intercontinental Airport,
QSC,Sao Carlos,
QRY,Heliport,
QSF,Setif Airport,
QSR,Pontecagnano,
QUG,Goodwood,
QUY,Wyton RAF Station,
QWG,Wilgrove Air Park,
QYW,Vieux Port,
RAC,John H. Batten Field,
QZD,Szeged,
RAD,Road Town,
RAH,Rafha Airport,
RBB,Borba,
RAJ,Civil Airport,
RBC,Robinvale,
RAL,Riverside Municipalcipal,
RBI,Rabi,
RAM,Ramingining,
RAN,La Spreta,
RAO,Dr. Leite Lopes State Airport,
RAT,Raduzhnyi,
RBQ,Rurrenabaque,
RBR,Pres. Medici Airport,
RBS,Orbost,
RBO,Robore,
RCA,Ellsworth AFB,
RBT,Marsabit,
RBU,Roebourne,
RCL,Redcliffe,
RCN,American River,
RBW,Lowcountry Regional,
RCK,Coffield,
RCT,Miller Field,
RCU,Rio Cuarto,
RCQ,Reconquista,
REE,Reese AFB,
REG,Tito Menniti Airport,
REI,Regina,
REL,Trelew Airport,
REN,Orenburg Airport,
REO,Rome State,
REP,Siem Reap International Airport,
REQ,Reko Diq,
RER,Base Aerea Del Sur,
RES,Resistencia Airport,
RET,Stolport Airport,
REU,Reus Airport,
REW,Rewa,
REX,Gen Lucio Blanco International Airport,
REY,Reyes,
REH,Rehoboth Beach,
RIC,Richmond International Airport (Byrd Field),
RID,Richmond Municipalcipal Airport,
RIE,Rice Lake,
RIF,Reynolds,
RIG,Rio Grande,
RIH,Scarlett Martínez International Airport,
RIJ,Rioja,
RIK,Carrillo,
RIL,Garfield County,
RIM,Rodriguez De Mendoza,
RIS,Rishiri Airport,
RIT,Rio Tigre,
RIV,March ARB,
RIW,Riverton Airport,
RIX,Riga International Airport,
RIY,Riyan Mukalla,
RJB,Rajbiraj,
RLR,Relais de la Reine,
RMB,Buraimi,
RMD,Ramagundam,
RME,Griffiss AFB,
RMF,Marsa Alam International Airport,
RMG,Richard B Russell,
RML,Ratmalana,
RMK,Renmark,
RMS,Ramstein,
RMU,Corvera International,
RMY,Mariposa-Yosemite,
RNI,Corn Island,
RNC,Warren County,
RNZ,Rensselaer,
RNH,New Richmond Municipal Airport,
RNJ,Yoron Airport,
RNL,Rennell,
RNM,Qarn Alam,
ROA,Roanoke-Blacksburg Regional Airport,
ROD,Robertson,
ROG,Rogers,
ROL,Roosevelt,
RON,Rondon,
ROO,Rondonopolis Airport,
RPX,Roundup,
RRL,Merrill Municipal Airport,
ROS,Fisherton Airport,
ROT,Rotorua International Airport,
RRV,Robinson River,
RSA,Santa Rosa Airport,
RSN,Ruston,
ROX,Roseau Municipal Airport,
ROY,Rio Mayo,
RST,Rochester International Airport,
RSW,Southwest Florida International Airport,
RSX,Rouses Point,
RTA,Rotuma Island,
RTB,Roatan Airport,
RTD,Rotunda,
RTI,Roti,
RTL,Spirit Lake,
RTM,Rotterdam The Hague Airport,
RTN,Crews Field,
RTS,Rottnest Island,
RTY,Merty,
RUA,Arua,
RTC,Ratnagiri,
RUE,Butembo,
RUG,Rugao,
RUK,Rukumkot,
RWF,Redwood Falls Municipal,
RWI,Rocky Mount-wilson,
RWL,Rawlins,
RWN,Rovno,
RWS,Sumare,
RXS,Roxas City Airport,
RXE,Madison County,
RYK,Rahim Yar Khan Airport,
RYB,Rybinsk,
RYG,Moss Airport,
RYN,Medis,
RYL,Royal Airport,
RYO,Rio Turbio,
RZA,Santa Cruz,
SAK,Saudarkrokur,
RZN,Ryazan,
RZP,CLR Airport,
RZZ,Halifax County,
SBF,Sardeh Band,
SBG,Maimun Saleh,
SBH,St. Barthelemy Airport,
SBI,Sambailo,
SBJ,Sao Mateus,
SBM,Memorial,
SBN,South Bend Regional,
SBO,Salina,
SBP,San Luis County Regional Airport,
SBS,Steamboat Springs,
SBU,Springbok,
SBV,Sabah,
SBW,Sibu Airport,
SBY,Wicomico Regional Airport,
SBZ,Sibiu Airport,
SCA,Santa Catalina,
SCB,State,
SCD,Sulaco,
SBD,Norton AFB,
SDB,Langebaanweg,
SDC,Sandcreek,
SDD,Lubango Airport,
SDE,Santiago Del Estero Airport,
SDG,Sanandaj Airport,
SDH,Santa Rosa Copan,
SDJ,Sendai Airport,
SDF,Louisville International Airport,
SDX,Sedona,
SDN,Sandane Airport,
SDP,Sand Point Municipal Airport,
SEB,Sebha,
SDS,Sado Shima,
SDT,Saidu Sharif,
SEH,Senggeh,
SFD,Las Flecheras,
SFE,San Fernando,
SFH,San Felipe,
SFJ,Kangerlussuaq Airport,
SFK,Soure,
SFM,Sanford,
SFN,Santa Fe Airport,
SFO,San Francisco International Airport,
SFP,Surfers Paradise,
SFQ,Sanliurfa,
SFR,San Fernando,
SFS,Subic Bay International,
SFT,Skelleftea Airport,
SFV,Santa Fe Do Sul,
SFW,Santa Fe,
SFX,San Felix,
SFL,Sao Filipe,
SHY,Shinyanga,
SII,Sidi Ifni,
SHC,Indaselassie,
SHD,Shenandoah Valley Airport,
SHE,Shenyang Taoxian International Airport,
SIJ,Siglufjordur,
SIP,Simferopol International Airport,
SHL,Shillong Airport,
SIX,Singleton,
SHP,Qinhuangdao,
SHQ,Southport,
SHR,Sheridan,
SJA,San Juan,
SJC,Norman Y. Mineta San Jose International Airport,
SJE,San Jose Del Gua,
SJF,St John Island,
SJG,San Pedro Jagua,
SJI,San Jose,
SJJ,Sarajevo International Airport,
SJK,Sao Jose Dos Campos,
SJL,Da Cachoeira,
SJM,San Juan,
SJO,Juan Santamaria International Airport,
SJD,Los Cabos International Airport,
SJR,San Juan D Ur,
SJS,San Jose,
SJT,San Angelo Regional Airport,
SKY,Griffing Sandusky,
SKZ,Sukkur Airport,
SLB,Storm Lake Municipal Airport,
SLC,Salt Lake City International Airport,
SLD,Sliac,
SLE,Mcnary Field,
SLI,Solwezi,
SLJ,Stellar Air Park,
SLK,Adirondack Airport,
SLM,Matacan Airport,
SLN,Salina Regional Airport,
SLA,Martin Miguel de Guemes International Airport,
SLG,Smith Field,
SLS,Silistra,
SLT,Salida,
SLR,Sulphur Springs,
SMU,Sheep Mountain,
SMV,Samedan,
SMW,Smara,
SMX,Santa Maria Public Airport,
SMY,Simenti,
SNA,John Wayne Airport,
SNC,General Ulpiano Paez Airport,
SND,Seno,
SNE,Preguica,
SNF,San Felipe,
SNG,San Ignacio De Velasco,
SNI,R.E. Murray,
SNJ,San Julian,
SNK,Winston Field,
SNN,Shannon Airport,
SOQ,Sorong Airport,
SOR,Al Thaurah,
SOT,Sodankyla,
SOU,Southampton Airport,
SOV,Seldovia,
SOW,Show Low Airport,
SOX,Alberto Lleras Camargo,
SOZ,Solenzara,
SPA,Spartanburg Downtown Memorial,
SPC,La Palma Airport,
SPE,Sepulot,
SPF,Black Hills,
SQH,Na-San,
SPI,Capital Airport,
SQR,Inco Soroako Waws,
SQZ,Scampton RAF Station,
SQS,Matthew Spain,
SQX,Sao Miguel do Oeste,
SRO,Santana Ramos,
SQU,Saposoa,
SRA,Santa Rosa,
SRB,Santa Rosa,
SRD,San Ramon,
SRE,Juana Azurduy de Padilla International Airport,
SSQ,La Sarre,
SST,Santa Teresita,
SSU,Greenbrier,
SSV,Siasi,
SSX,Samsun Samair Airport,
SSY,M'banza Congo,
SSZ,Santos,
STA,Stauning Vestjyllands Airport,
STB,L Delicias,
STC,Saint Cloud Regional,
STD,Mayo Guerrero,
STE,Stevens Point,
STG,St. George Island Airport,
STI,Cibao International Airport,
STJ,Rosecrans Memorial,
STK,Crosson Field,
SUK,Sakkyryr Airport,
SUT,Sumbawanga,
SUM,Sumter Municipal Airport,
SUU,Travis AFB,
SUO,Sun River,
SUP,Trunojoyo,
SUQ,Sucua,
SUS,Spirit of St. Louis Airport,
SVK,Silver Creek,
SWC,Stawell,
SWF,Stewart International Airport,
SVD,Argyle International Airport,
SVE,Susanville,
SVF,Save,
SWL,Spanish Wells,
SWM,Suia-Missu,
SWN,Sahiwal,
SWO,Searcy Field,
SWS,Swansea Airport,
SWQ,Sultan Muhammad Kaharuddin III Airport,
SWV,Severo-Evensk Airport,
SWX,Shakawe,
SWT,Strezhevoy Airport,
SWU,Suwon,
SWY,Sitiawan,
SWW,Sweetwater,
SXI,Sirri Island,
SXM,Princess Juliana International Airport,
SXA,Sialum,
SYV,Sylvester,
SYW,Sehwen Sharif,
SYY,Stornoway Airport,
SYZ,Shiraz International Airport,
SZA,Soyo Airport,
SZB,Sultan Abdul Aziz Shah Airport,
SZE,Semera Airport,
SZH,Senipah,
SYO,Shonai Airport,
SZI,Zaisan,
SZJ,Siguanea,
SZL,Whiteman AFB,
SZM,Sesriem,
SYP,Santiago,
SZP,Oxnard,
SZQ,Saenz Pena,
SZR,Stara Zagora,
SZS,Stewart Island,
SZT,San Cristobal Airport,
SZU,Segou,
SZV,Suzhou,
SZW,Parchim Airport,
SYQ,Tobias Bolaños International,
SZY,Olsztyn-Mazury Airport,
SYR,Hancock International Airport,
TAA,Tarapaina,
SYS,Yeosu,
TAC,D. Z. Romualdez Airport,
TAD,Las Animas,
SYT,Charolais Bourgogne S.,
TAF,Tafaraoui,
TAG,Bohol-Panglao,
TAI,Al Janad,
TAN,Tangalooma,
TAP,Tapachula International Airport,
TAR,M. A. Grottag,
TAT,Poprad/Tatry Airport,
TAU,Tauramena,
TAV,Tau Island Airport,
TAW,Tacuarembo,
TAX,Taliabu,
TAZ,Dashoguz,
TBB,Tuy Hoa Airport,
TBC,Tuba City,
TBE,Timbunke,
TBH,Romblon,
TBI,New Bright,
TBJ,Tabarka,
TBM,Tumbang Samba,
TBN,Forney AAF,
TBO,Tabora Airport,
TBP,Capitan FAP Pedro Canga Rodriguez Airport,
TAQ,Tarcoola,
TAS,Yuzhny Airport,
TBT,Tabatinga International Airport,
TAY,Tartu Airport,
TBV,Tabal,
TBW,Tambov Donskoye Airport,
TBX,Tambelan Airport,
TBY,Tsabong,
TBD,Timbiqui,
TCB,Treasure Cay Airport,
TCC,Tucumcari,
TCE,Tulcea,
TCF,Tocoa,
TCD,Tarapaca,
TCH,Tchibanga,
TCI,Terney Airport,
TCK,Tinboli Airport,
TCL,Van De Graaf,
TCM,McChord AFB,
TTC,Taltal,
TCO,La Florida Airport,
TCQ,Tacna Airport,
TCR,Tuticorin Airport,
TCS,Truth or Consequences,
TCU,Thaba Nchu,
TCW,Tocumwal,
TCX,Tabas,
TCZ,Tengchong Tuofeng Airport,
TDA,Trinidad,
TDD,Teniente Jorge Henrich Arauz Airport,
TDG,Tandag,
TCY,Terrace Bay,
TDL,Tandil,
TDO,Winlock,
TDP,Trompeteros,
TDK,Taldy-Kurgan,
TEE,Cheikh Larbi Tebessi Airport,
TDW,Tradewind,
TDZ,Toledo,
TEG,Tenkodogo,
TEL,Telupid,
TEO,Terapo,
TEQ,Corlu,
TET,Matundo Airport,
TEU,Manapouri,
TEV,Teruel Airport,
TEY,Thingeyri,
TEZ,Tezpur Airport,
TFL,Teofilo Otoni,
TFN,Tenerife North Airport,
TFR,Ramadan,
TFS,Tenerife South Airport,
TFT,Taftan,
TFY,Muhammad Taufiq Kiemas Airport,
TGA,Tengah Air Base,
TGB,Tagbita,
TGC,Tanjung Manis Airport,
TGD,Podgorica Airport,
TGE,Sharpe Field,
TGG,Sultan Mahmud Airport,
TFF,Tefe Airport,
TGK,Taganrog,
TGL,Tagula,
TGM,Transilvania,
TGN,La Trobe Regional,
TFU,Chengdu Tianfu International Airport,
TGI,Tingo Maria,
TGR,Touggourt Airport,
TGS,Chokwe,
THC,Tchien,
THH,Taharoa,
TGV,Targovishte,
TGZ,Angel Albino Corzo International Airport,
THB,Thaba-Tseka,
THD,Bai Thuong Airport,
THM,Thompsonfield,
THN,Trollhattan Airport,
THP,Hot Springs,
THT,Tamchakett,
THI,Tichitt,
THK,Thakhek,
THV,York Airport,
THX,Turukhansk Airport,
THY,Thohoyandou,
THZ,Tahoua,
TIA,Tirana International Airport,
TIB,Tibu,
TIC,Tinak Island,
TID,Bouchekif Abde Al-hafidh Boussof,
TIE,Tippi,
TIF,Taif Airport,
TII,Tirinkot,
TIJ,Tijuana Airport,
TIK,Tinker AFB,
TIL,Inverlake,
TIN,Tindouf Airport,
TIO,Tilin,
TIZ,Tari Airport,
TJA,Capitan Oriel Lea Plaza Airport,
TKC,Tiko,
TIW,Industrial,
TJB,Tanjung Balai,
TJC,Ticantiki,
TJG,Tanjung Warukin,
TJI,Capiro,
TJL,Três Lagoas Airport,
TJQ,Bulutumbang Airport,
TJU,Kulyab Airport,
TJV,Thanjavur,
TKE,Tenakee SPB,
TKW,Tekin,
TKH,Nakhon Sawan,
TLD,Limpopo Valley,
TKN,Tokunoshima,
TLL,Tallinn Airport,
TLS,Toulouse-Blagnac Airport,
TKT,Tak,
TKZ,Tokoroa,
TLB,Tarbela,
TLC,Toluca International Airport,
TLE,Tulear,
TLF,Telida,
TLG,Tulagi Island,
TLI,Tolitoli,
TLR,Mefford Field,
TLU,Tolu,
TLX,Talca,
TKG,Radin Inten II Airport,
TLZ,Catalao,
TKK,Chuuk International Airport,
TKO,Tlokoeng,
TMC,Tambolaka Airport,
TKQ,Kigoma Airport,
TME,Gabriel Vargas Santos Airport,
TKR,Thakurgaon,
TKS,Tokushima Awaodori Airport,
TKU,Turku Airport,
TKX,Takaroa,
TLH,Tallahassee International Airport,
TLK,Talakan,
TLM,Zenata Airport,
TLQ,Turpan Jiaohe Airport,
TLV,Ben Gurion International Airport,
TLY,Plastun Airport,
TMF,Thimarafushi Airport,
TMG,Tomanggong,
TMH,Tanahmerah,
TMJ,Termez Airport,
TMK,Tamky,
TML,Tamale Airport,
TMM,Tamatave,
TMN,Tamana Island,
TMO,Tumeremo,
TMP,Tampere-Pirkkala Airport,
TMQ,Tambao,
TMR,Aguenar - Hadj Bey Akhamok Airport,
TMS,Sao Tome Island Airport,
TMT,Trombetas,
TMU,Tambor Airport,
TMX,Timimoun Airport,
TNP,Twentynine Palms,
TMY,Tiom,
TMZ,Thames,
TNX,Stung Treng,
TNB,Tanah Grogot,
TND,Trinidad,
TNE,Tanegashima,
TOA,Torrance Airport,
TOE,Tozeur Airport,
TNH,Tonghua Sanyuanpu Airport,
TNJ,Kidjang Airport,
TNL,Ternopol,
TNM,Teniente R. Marsh Martin,
TNR,Antananarivo Airport,
TNT,Dade Collier,
TNU,Newton Municipal Airport,
TNV,Tabuaeran,
TOC,Toccoa RG Letourneau Field,
TOD,Tioman,
TOF,Tomsk Airport,
TOI,Troy Municipal Airport,
TOJ,Torrejon AFB,
TOR,Torrington Municipal Airport,
TOM,Tombouctou,
TOO,San Vito,
TOP,Philip Billard,
TOT,Coronie,
TOZ,Touba,
TPF,Peter O'Knight,
TOW,Toledo,
TOX,Tobolsk,
TPO,Tanalian Point,
TPX,Tupai,
TPC,Tarapoa,
TRA,Tarama,
TPG,Taiping,
TPK,Tapaktuan,
TPL,Draughon-miller Central Texas Regional,
TPP,Cad. FAP Guillermo del Castillo Paredes Airport,
TPQ,Tepic Airport,
TPT,Tapeta,
TPU,Tikapur,
TQD,Al Taqaddum AB,
TOL,Toledo Express Airport,
TOQ,Barriles,
TOS,Tromso/Langnes Airport,
TOU,Touho,
TQR,San Domino Island,
TQS,Tres Esquinas,
TRB,Gonzalo,
TOY,Toyama Airport,
TPA,Tampa International Airport,
TPE,Taiwan Taoyuan International Airport,
TPN,Tiputini,
TPS,Trapani-Birgi Airport,
TRE,Tiree Airport,
TRF,Torp Sandefjord Airport,
TRG,Tauranga City Airport,
TRH,Trona,
TRY,Tororo,
TSM,Taos,
TRK,Juwata International Airport,
TRL,Terrell Field,
TRM,Thermal,
TRQ,Tarauaca,
TRT,Tremonton,
TRU,Trujillo Airport,
TRW,Bonriki Airport,
TRX,Memorial,
TSH,Tshikapa,
TSK,Taskul,
TSL,Tamuin,
TSO,Tresco,
TSP,Kern County,
TSQ,Torres,
TSS,East 34th St Heliport,
TSU,Tabiteuea South,
TSY,Tasikmalaya,
TSZ,Tsetserleg,
TTA,Tan Tan Airport,
TXU,Tabou,
TTD,Troutdale,
TTG,Tartagal,
TTH,Thumrait,
TTI,Tetiaroa Island,
TTQ,Tortuquero,
TTW,Tissa Tank,
TTJ,Tottori Airport,
TUB,Tubuai,
TUC,Benj Matienzo,
TUE,Tupile,
TUF,Val de Loire Airport,
TUH,Arnold AFS,
TUJ,Tum,
TUQ,Tougan,
TUR,Tucurui,
TTM,Tablon De Tamara,
TUU,Tabuk Regional Airport,
TUV,Tucupita,
TUW,Tubala,
TUX,Tumbler Ridge,
TUZ,Tucuma,
TVU,Matei Airport,
TTN,Trenton-Mercer Airport,
TTO,Britton Municipal Airport,
TTE,Babullah Airport,
TUK,Turbat Airport,
TUM,Tumut,
TUY,Tulum,
TVY,Dawe Airport,
TWB,Toowoomba,
TWD,Port Townsend,
TWC,Tumxuk Tangwangcheng Airport,
TWF,Magic Valley Regional Airport,
TWT,Tawitawi,
TWU,Tawau Airport,
TWH,Two Harbors,
TWZ,Pukaki/Twizel,
TXF,Teixeira de Freitas Airport,
TXG,Taichung,
TXK,Texarkana Municipal Airport,
TXE,Rembele Airport,
TYA,Tula,
TXL,Tegel Airport,
TYE,Tyonek,
TXM,Teminabuan,
TYL,Captain FAP Victor Montes Arias Airport,
TXN,Huangshan Tunxi International Airport,
TYT,Treinta-y-Tres,
TZA,Municipal,
TZL,Tuzla International Airport,
UAB,Adana-Incirlik Airbase,
UAK,Narsarsuaq Airport,
UAL,Luau,
TWN,Tewantin,
TYD,Tynda Airport,
TYM,Staniel Cay,
TYZ,Taylor,
TZM,Tizimin,
UAE,Mount Aue,
UAM,Andersen AFB,
UAQ,San Juan Airport,
UAX,Uaxactun,
UAS,Samburu,
UBA,Uberaba Airport,
UBJ,Yamaguchi Ube Airport,
UBN,New Ulaanbaatar International Airport,
UBP,Ubon Ratchathani International Airport,
UBT,Ubatuba,
UBS,Lowndes County,
UCT,Ukhta Airport,
UCA,Oneida County,
UCC,Yucca Flat,
UCK,Lutsk,
UCN,Buchanan,
UCY,Everett-Stewart,
UDA,Undarra,
UDE,Volkel,
UDI,Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport,
UDN,Airfield,
UDO,Udomxay,
UEE,Queenstown,
UEL,Quelimane Airport,
UEO,Kume-jima Airport,
UER,Puertollano,
UGA,Bulgan,
UDD,Bermuda Dunes,
UDJ,Uzhgorod,
UGN,Memorial,
UGO,Uige,
UEN,Urengoy,
UGT,Umnugobitour,
UIH,Phu Cat Airport,
UBI,Buin,
UCB,Ulanqab Jining Airport,
UCE,Eunice,
UHE,Kunovice,
UIL,Quillayute State,
UIN,Quincy Municipal Airport,
UIO,Mariscal Sucre International Airport,
UIP,Pluguffan Airport,
UII,Utila,
UIT,Jaluit Island,
UIZ,Berz-Macomb,
UJE,Ujae Island,
UKA,Ukunda Airport,
UKG,Ust-Kuiga,
UKR,Mukeiras,
UKT,Upper Bucks,
UIK,Ust-Ilimsk,
ULA,San Julian,
ULB,Ulei,
ULC,Los Cerrillos,
ULE,Sule,
ULG,Ulgit,
ULH,Prince Abdul Majeed bin Abdulaziz Airport,
ULL,Mull,
UIR,Quirindi,
ULO,Ulaangom,
UJN,Uljin,
ULS,Mulatos,
ULY,Ulyanovsk Vostochny Airport,
UJU,Uiju Airfield,
UKB,Kobe Airport,
UMD,Uummannaq,
UKH,Mukhaizna,
UKN,Waukon Municipal Airport,
UKY,Kyoto,
ULD,Ulundi,
ULU,Gulu,
UMI,Quincemil,
UMM,Summit,
UMR,Woomera,
UMU,Ernesto Geisel,
UMY,Sumy,
UNA,Una,
UNC,Unguia,
UNE,Qachas Nek,
UMS,Ust-Maya,
UMZ,Mena Intermountain Municipal Airport,
UNN,Ranong Airport,
UNR,Underkhaan,
UNS,Umnak,
UND,Kunduz,
UNU,Dodge County,
UNG,Kiunga,
UOL,Buol,
UON,Muong Sai,
UPA,Punta Alegre,
UPL,Upala,
UPN,Licenciado y General Ignacio Lopez Rayon Airport,
UOX,University-Oxford,
UPB,Playa Baracoa,
URB,Ernesto Pochler,
UPP,Upolu Point,
URG,Ruben Berta Airport,
URI,Uribe,
URA,Uralsk Airport,
URN,Urgoon,
URO,Boos,
URZ,Uruzgan,
URD,Burg Feuerstein,
UOS,Franklin County,
UPG,Sultan Hasanuddin International Airport,
UPV,Upavon,
URE,Kuressaare Airport,
URR,Urrao,
URS,Kursk Vostochny Airport,
URU,Uroubi,
UUS,Yuzhno-Sakhalinsk Airport,
USC,Union County Airport,
USA,Concord-Padgett Regional Airport,
USI,Mabaruma,
USJ,Usharal,
USK,Usinsk Airport,
USL,Useless Loop,
UVI,União da Vitória Airport,
UYL,Nyala,
USM,Koh Samui Airport,
UYN,Yulin Yuyang Airport,
UUN,Baruun-Urt,
USS,Sancti Spiritus,
UST,St. Augustine Airport,
USN,Ulsan Airport,
UTA,Mutare,
USQ,Usak,
UTC,Soesterberg,
USR,Ust-Nera Airport,
UTG,Quthing,
UWA,Ware,
UTL,Torremolinos,
UTM,Tunica Municipalcipal Airport,
UTP,Utapao Airport,
UTT,Umtata Airport,
UTU,Ustupo,
UTW,Queenstown,
UTH,Udon Thani International Airport,
UTI,Utti,
UTN,Upington Airport,
UTR,Uttaradit,
UTK,Utirik Island,
UUA,Bugulma Airport,
UUD,Ulan-Ude Airport,
UZH,Unayzah,
VCL,Chu Lai International Airport,
UZU,Curuzu Cuatia,
VAB,Yavarate,
UZR,Urzhar Airport,
VAG,Major-Brigadeiro Trompowsky Airport,
VAA,Vaasa Airport,
VAL,Valenca,
VAP,Valparaiso,
VAT,Vatomandry,
VAC,Varrelbusch,
VAW,Vardoe Airport,
VBG,Vandenberg AFB,
VAF,Chabeuil,
VBV,Vanuabalavu,
VCA,Can Tho Airport,
VAH,Vallegrande,
VCF,Valcheta Airport,
VCH,Vichadero,
VCR,Carora,
VCS,Con Dao,
VDI,Vidalia Municipal Airport,
VDM,Gobernador Edgardo Castello Airport,
VDU,Tom O'Connor Oilfield,
VDZ,Valdez Municipal Airport,
VEG,Maikwak,
VEL,Vernal Regional Airport,
VER,Veracruz International Airport,
VEX,Tioga Municipal Airport,
VFA,Victoria Falls Airport,
VGG,Vangrieng,
VGS,General Villegas,
VGT,North Air Terminal,
VGZ,Villagarzon,
VHC,Saurimo,
VPE,Ondjiva,
VIY,Villa Coublay,
VJQ,Gurue,
VKG,Rach Gia Airport,
VKS,Vicksburg,
VLA,Vandalia,
VIX,Eurico de Aguiar Salles Airport,
VLE,J t Robidoux,
VLG,Villa Gesell,
VLM,Villamontes,
VLO,Stolport,
VLV,Carvajal,
VME,Villa Mercedes,
VMI,INC,
VJB,Xai Xai,
VNC,Venice Municipalcipal,
VNE,Meucon,
VNG,Viengxay,
VJI,Virginia Highlands,
VPY,Chimoio Airport,
VQQ,Cecil Field,
VQS,Antonio Rivera Rodriguez Airport,
VRA,Juan Gualberto Gomez Airport,
VRE,Vredendal,
VRK,Varkaus,
VRL,Vila Real Airport,
VRO,Kawama,
VRS,Versailles,
VRU,Vryburg,
VRY,Stolport (Not operational),
VSE,Viseu Airport,
VSF,State,
VSG,Lugansk,
VSO,Phuoclong,
VTA,Victoria,
VYS,Illinois Valley Regnl,
WAC,Waca,
WAE,Wadi Ad Dawasir Airport,
WAG,Wanganui Airport,
WAF,Wana,
WAK,Ankazoabo,
WAM,Ambatondrazaka,
WAL,Wallops Flight Center,
WAP,Alto Palena,
WAO,Wabo,
WAT,Waterford,
WAR,Waris,
WAU,Wauchope,
WAX,Zuwarah,
WAW,Frederic Chopin Airport,
WAY,Greene County,
WDS,Shiyan Wudangshan Airport,
WDY,Kodiak Fss,
WEA,Parker County,
WEL,Welkom,
WEP,Weam,
WES,Weasua Airport,
WET,Wagethe,
WEW,Wee Waa,
WEF,Weifang Airport,
WFD,Woodford,
WFI,Fianarantsoa,
WFK,Frenchville,
WJF,William J Fox,
WJR,Wajir Airport,
WKB,Warracknabeal,
WKF,Waterkloof AFB,
WKJ,Hokkaido Airport,
WJU,Wonju Airport,
WKL,Waikoloa Airport,
WKA,Wanaka,
WKI,Hwange,
WLC,Walcha,
WLD,Arkansas City,
WLE,Miles Airport,
WKN,Wakunai,
WLL,Wollogorang,
WLM,Waltham,
WNP,Naga Airport,
WNS,Nawabshah,
WNU,Wanuma,
WNZ,Wenzhou Longwan International Airport,
WOD,Wood River,
WOE,Woensdrecht,
WOK,Wonken,
WOL,Wollongong,
WRA,Warder,
WRE,Whangarei Airport,
WRN,Windarling Airport,
WOT,Wonan,
WSP,Waspam,
WSU,Wasu,
WSX,Westsound,
WSY,Whitsunday Airstrip,
WSZ,Westport Airport,
